cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.3,2022-05-12,CD,2022-05-25,4,2022-06-23,2022-05-26,XYL
0.3,2022-02-03,CD,2022-02-16,4,2022-03-17,2022-02-17,XYL
0.28,2021-11-11,CD,2021-11-22,4,2021-12-21,2021-11-23,XYL
0.28,2021-08-11,CD,2021-08-25,4,2021-09-23,2021-08-26,XYL
0.28,2021-05-15,CD,2021-05-26,4,2021-06-24,2021-05-27,XYL
0.28,2021-02-04,CD,2021-02-17,4,2021-03-18,2021-02-18,XYL
0.26,2020-10-20,CD,2020-11-04,4,2020-12-03,2020-11-05,XYL
0.26,2020-08-13,CD,2020-08-26,4,2020-09-24,2020-08-27,XYL
0.26,2020-05-14,CD,2020-05-27,4,2020-06-25,2020-05-28,XYL
0.26,2020-02-06,CD,2020-02-26,4,2020-03-26,2020-02-27,XYL
0.24,2019-10-17,CD,2019-10-30,4,2019-12-05,2019-10-31,XYL
0.24,2019-08-15,CD,2019-08-28,4,2019-09-26,2019-08-29,XYL
0.24,2019-05-16,CD,2019-05-29,4,2019-06-27,2019-05-30,XYL
0.24,2019-01-31,CD,2019-02-13,4,2019-03-14,2019-02-14,XYL
0.21,2018-10-11,CD,2018-10-31,4,2018-12-07,2018-11-01,XYL
0.21,2018-08-16,CD,2018-08-29,4,2018-09-20,2018-08-30,XYL
0.21,2018-05-10,CD,2018-05-23,4,2018-06-21,2018-05-24,XYL
0.21,2018-02-01,CD,2018-02-14,4,2018-03-15,2018-02-15,XYL
0.18,2017-10-12,CD,2017-11-01,4,2017-12-06,2017-11-02,XYL
0.18,2017-08-17,CD,2017-08-29,4,2017-09-20,2017-08-31,XYL
0.18,2017-05-12,CD,2017-05-23,4,2017-06-21,2017-05-25,XYL
0.18,2017-02-01,CD,2017-02-14,4,2017-03-15,2017-02-16,XYL
0.1549,2016-10-13,CD,2016-11-07,4,2016-12-07,2016-11-09,XYL
0.1549,2016-08-17,CD,2016-08-29,4,2016-09-21,2016-08-31,XYL
0.1549,2016-05-12,CD,2016-05-23,4,2016-06-22,2016-05-25,XYL
0.1549,2016-02-04,CD,2016-02-16,4,2016-03-16,2016-02-18,XYL
0.1408,2015-10-14,CD,2015-11-02,4,2015-12-02,2015-11-04,XYL
0.1408,2015-08-08,CD,2015-08-31,4,2015-09-23,2015-09-02,XYL
0.1408,2015-05-13,CD,2015-05-26,4,2015-06-24,2015-05-28,XYL
0.1408,2015-02-10,CD,2015-02-13,4,2015-03-18,2015-02-18,XYL
0.128,2014-10-15,CD,2014-10-27,4,2014-12-03,2014-10-29,XYL
0.128,2014-08-25,CD,2014-09-08,4,2014-09-24,2014-09-10,XYL
0.128,2014-05-07,CD,2014-05-19,4,2014-06-18,2014-05-21,XYL
0.128,2014-02-04,CD,2014-02-14,4,2014-03-19,2014-02-19,XYL
0.1164,2013-10-11,CD,2013-10-21,4,2013-12-11,2013-10-23,XYL
0.1164,2013-08-21,CD,2013-08-30,4,2013-09-18,2013-09-04,XYL
0.1164,2013-05-08,CD,2013-05-20,4,2013-06-19,2013-05-22,XYL
0.1164,2013-02-07,CD,2013-02-15,4,2013-03-20,2013-02-20,XYL
0.1012,2012-10-13,CD,2012-10-18,4,2012-12-19,2012-10-22,XYL
0.1012,2012-08-21,CD,2012-08-23,4,2012-09-19,2012-08-27,XYL
0.1012,2012-05-11,CD,2012-05-17,4,2012-06-20,2012-05-21,XYL
0.1012,2012-02-25,CD,2012-03-01,4,2012-03-21,2012-03-05,XYL
0.1012,2011-11-04,CD,2011-11-14,4,2011-12-31,2011-11-16,XYL
