cik,company_name,end_date,filing_date,financials,fiscal_period,fiscal_year,source_filing_file_url,source_filing_url,start_date
0000726728,REALTY INCOME CORPORATION,2022-06-30,2022-08-04,"{'balance_sheet': {'liabilities_and_equity': {'formula': None, 'label': 'Liabilities And Equity', 'order': 1900, 'unit': 'USD', 'value': 44951918000.0, 'xpath': None}, 'current_assets': {'formula': None, 'label': 'Current Assets', 'order': 200, 'unit': 'USD', 'value': 44951918000.0, 'xpath': None}, 'equity_attributable_to_parent': {'formula': None, 'label': 'Equity Attributable To Parent', 'order': 1600, 'unit': 'USD', 'value': 26326612000.0, 'xpath': None}, 'noncurrent_liabilities': {'formula': None, 'label': 'Noncurrent Liabilities', 'order': 800, 'unit': 'USD', 'value': 0, 'xpath': None}, 'equity': {'formula': None, 'label': 'Equity', 'order': 1400, 'unit': 'USD', 'value': 26402879000.0, 'xpath': None}, 'equity_attributable_to_noncontrolling_interest': {'formula': None, 'label': 'Equity Attributable To Noncontrolling Interest', 'order': 1500, 'unit': 'USD', 'value': 76267000.0, 'xpath': None}, 'assets': {'formula': None, 'label': 'Assets', 'order': 100, 'unit': 'USD', 'value': 44951918000.0, 'xpath': None}, 'liabilities': {'formula': None, 'label': 'Liabilities', 'order': 600, 'unit': 'USD', 'value': 18549039000.0, 'xpath': None}, 'current_liabilities': {'formula': None, 'label': 'Current Liabilities', 'order': 700, 'unit': 'USD', 'value': 18549039000.0, 'xpath': None}, 'noncurrent_assets': {'formula': None, 'label': 'Noncurrent Assets', 'order': 300, 'unit': 'USD', 'value': 0, 'xpath': None}}, 'cash_flow_statement': {'exchange_gains_losses': None, 'net_cash_flow': None, 'net_cash_flow_from_financing_activities': None}, 'comprehensive_income': {'comprehensive_income_loss': {'formula': None, 'label': 'Comprehensive Income/Loss', 'order': 100, 'unit': 'USD', 'value': 207669000.0, 'xpath': None}, 'comprehensive_income_loss_attributable_to_parent': {'formula': None, 'label': 'Comprehensive Income/Loss Attributable To Parent', 'order': 300, 'unit': 'USD', 'value': 207669000.0, 'xpath': None}, 'other_comprehensive_income_loss': {'formula': None, 'label': 'Other Comprehensive Income/Loss', 'order': 400, 'unit': 'USD', 'value': -15538000.0, 'xpath': None}}, 'income_statement': {'basic_earnings_per_share': {'formula': None, 'label': 'Basic Earnings Per Share', 'order': 4200, 'unit': 'USD / shares', 'value': 0.37, 'xpath': None}, 'cost_of_revenue': None, 'gross_profit': None, 'operating_expenses': {'formula': None, 'label': 'Operating Expenses', 'order': 1000, 'unit': 'USD', 'value': -194122000.0, 'xpath': None}, 'revenues': {'formula': None, 'label': 'Revenues', 'order': 100, 'unit': 'USD', 'value': 810419000.0, 'xpath': None}}}",Q2,2022,https://api.polygon.io/v1/reference/sec/filings/0000726728-22-000103/files/o-20220630_htm.xml,https://api.polygon.io/v1/reference/sec/filings/0000726728-22-000103,2022-04-01
0000726728,REALTY INCOME CORPORATION,2021-09-30,2021-11-02,"{'balance_sheet': {'equity': {'formula': None, 'label': 'Equity', 'order': 1400, 'unit': 'USD', 'value': 13369113000.0, 'xpath': None}, 'current_assets': {'formula': None, 'label': 'Current Assets', 'order': 200, 'unit': 'USD', 'value': 23711094000.0, 'xpath': None}, 'noncurrent_liabilities': {'formula': None, 'label': 'Noncurrent Liabilities', 'order': 800, 'unit': 'USD', 'value': 0, 'xpath': None}, 'noncurrent_assets': {'formula': None, 'label': 'Noncurrent Assets', 'order': 300, 'unit': 'USD', 'value': 0, 'xpath': None}, 'assets': {'formula': None, 'label': 'Assets', 'order': 100, 'unit': 'USD', 'value': 23711094000.0, 'xpath': None}, 'equity_attributable_to_noncontrolling_interest': {'formula': None, 'label': 'Equity Attributable To Noncontrolling Interest', 'order': 1500, 'unit': 'USD', 'value': 34020000.0, 'xpath': None}, 'liabilities': {'formula': None, 'label': 'Liabilities', 'order': 600, 'unit': 'USD', 'value': 10341981000.0, 'xpath': None}, 'equity_attributable_to_parent': {'formula': None, 'label': 'Equity Attributable To Parent', 'order': 1600, 'unit': 'USD', 'value': 13335093000.0, 'xpath': None}, 'current_liabilities': {'formula': None, 'label': 'Current Liabilities', 'order': 700, 'unit': 'USD', 'value': 10341981000.0, 'xpath': None}, 'liabilities_and_equity': {'formula': None, 'label': 'Liabilities And Equity', 'order': 1900, 'unit': 'USD', 'value': 23711094000.0, 'xpath': None}}, 'cash_flow_statement': {'exchange_gains_losses': None, 'net_cash_flow': None, 'net_cash_flow_from_financing_activities': None}, 'comprehensive_income': {'comprehensive_income_loss': {'formula': None, 'label': 'Comprehensive Income/Loss', 'order': 100, 'unit': 'USD', 'value': 153286000.0, 'xpath': None}, 'comprehensive_income_loss_attributable_to_parent': {'formula': None, 'label': 'Comprehensive Income/Loss Attributable To Parent', 'order': 300, 'unit': 'USD', 'value': 153286000.0, 'xpath': None}, 'other_comprehensive_income_loss': {'formula': None, 'label': 'Other Comprehensive Income/Loss', 'order': 400, 'unit': 'USD', 'value': 18290000.0, 'xpath': None}}, 'income_statement': {'basic_earnings_per_share': {'formula': None, 'label': 'Basic Earnings Per Share', 'order': 4200, 'unit': 'USD / shares', 'value': 0.34, 'xpath': None}, 'cost_of_revenue': None, 'gross_profit': None, 'operating_expenses': {'formula': None, 'label': 'Operating Expenses', 'order': 1000, 'unit': 'USD', 'value': -135618000.0, 'xpath': None}, 'revenues': {'formula': None, 'label': 'Revenues', 'order': 100, 'unit': 'USD', 'value': 491875000.0, 'xpath': None}}}",Q3,2021,https://api.polygon.io/v1/reference/sec/filings/0000726728-21-000104/files/o-20210930_htm.xml,https://api.polygon.io/v1/reference/sec/filings/0000726728-21-000104,2021-07-01
0000726728,REALTY INCOME CORPORATION,2021-06-30,2021-08-03,"{'balance_sheet': {'current_assets': {'formula': None, 'label': 'Current Assets', 'order': 200, 'unit': 'USD', 'value': 21984941000.0, 'xpath': None}, 'assets': {'formula': None, 'label': 'Assets', 'order': 100, 'unit': 'USD', 'value': 21984941000.0, 'xpath': None}, 'noncurrent_assets': {'formula': None, 'label': 'Noncurrent Assets', 'order': 300, 'unit': 'USD', 'value': 0, 'xpath': None}, 'equity_attributable_to_parent': {'formula': None, 'label': 'Equity Attributable To Parent', 'order': 1600, 'unit': 'USD', 'value': 11839532000.0, 'xpath': None}, 'equity': {'formula': None, 'label': 'Equity', 'order': 1400, 'unit': 'USD', 'value': 11873679000.0, 'xpath': None}, 'equity_attributable_to_noncontrolling_interest': {'formula': None, 'label': 'Equity Attributable To Noncontrolling Interest', 'order': 1500, 'unit': 'USD', 'value': 34147000.0, 'xpath': None}, 'current_liabilities': {'formula': None, 'label': 'Current Liabilities', 'order': 700, 'unit': 'USD', 'value': 10111262000.0, 'xpath': None}, 'liabilities': {'formula': None, 'label': 'Liabilities', 'order': 600, 'unit': 'USD', 'value': 10111262000.0, 'xpath': None}, 'liabilities_and_equity': {'formula': None, 'label': 'Liabilities And Equity', 'order': 1900, 'unit': 'USD', 'value': 21984941000.0, 'xpath': None}, 'noncurrent_liabilities': {'formula': None, 'label': 'Noncurrent Liabilities', 'order': 800, 'unit': 'USD', 'value': 0, 'xpath': None}}, 'cash_flow_statement': {'exchange_gains_losses': None, 'net_cash_flow': None, 'net_cash_flow_from_financing_activities': None}, 'comprehensive_income': {'comprehensive_income_loss': {'formula': None, 'label': 'Comprehensive Income/Loss', 'order': 100, 'unit': 'USD', 'value': 113597000.0, 'xpath': None}, 'comprehensive_income_loss_attributable_to_parent': {'formula': None, 'label': 'Comprehensive Income/Loss Attributable To Parent', 'order': 300, 'unit': 'USD', 'value': 113597000.0, 'xpath': None}, 'other_comprehensive_income_loss': {'formula': None, 'label': 'Other Comprehensive Income/Loss', 'order': 400, 'unit': 'USD', 'value': -10882000.0, 'xpath': None}}, 'income_statement': {'basic_earnings_per_share': {'formula': None, 'label': 'Basic Earnings Per Share', 'order': 4200, 'unit': 'USD / shares', 'value': 0.33, 'xpath': None}, 'cost_of_revenue': None, 'gross_profit': None, 'operating_expenses': {'formula': None, 'label': 'Operating Expenses', 'order': 1000, 'unit': 'USD', 'value': -118692000.0, 'xpath': None}, 'revenues': {'formula': None, 'label': 'Revenues', 'order': 100, 'unit': 'USD', 'value': 464282000.0, 'xpath': None}}}",Q2,2021,https://api.polygon.io/v1/reference/sec/filings/0000726728-21-000092/files/o-20210630_htm.xml,https://api.polygon.io/v1/reference/sec/filings/0000726728-21-000092,2021-04-01
0000726728,REALTY INCOME CORPORATION,2021-03-31,2021-05-04,"{'balance_sheet': {'noncurrent_assets': {'formula': None, 'label': 'Noncurrent Assets', 'order': 300, 'unit': 'USD', 'value': 0, 'xpath': None}, 'current_liabilities': {'formula': None, 'label': 'Current Liabilities', 'order': 700, 'unit': 'USD', 'value': 9412557000.0, 'xpath': None}, 'noncurrent_liabilities': {'formula': None, 'label': 'Noncurrent Liabilities', 'order': 800, 'unit': 'USD', 'value': 0, 'xpath': None}, 'assets': {'formula': None, 'label': 'Assets', 'order': 100, 'unit': 'USD', 'value': 20979570000.0, 'xpath': None}, 'liabilities_and_equity': {'formula': None, 'label': 'Liabilities And Equity', 'order': 1900, 'unit': 'USD', 'value': 20979570000.0, 'xpath': None}, 'equity_attributable_to_noncontrolling_interest': {'formula': None, 'label': 'Equity Attributable To Noncontrolling Interest', 'order': 1500, 'unit': 'USD', 'value': 32141000.0, 'xpath': None}, 'equity_attributable_to_parent': {'formula': None, 'label': 'Equity Attributable To Parent', 'order': 1600, 'unit': 'USD', 'value': 11534872000.0, 'xpath': None}, 'current_assets': {'formula': None, 'label': 'Current Assets', 'order': 200, 'unit': 'USD', 'value': 20979570000.0, 'xpath': None}, 'equity': {'formula': None, 'label': 'Equity', 'order': 1400, 'unit': 'USD', 'value': 11567013000.0, 'xpath': None}, 'liabilities': {'formula': None, 'label': 'Liabilities', 'order': 600, 'unit': 'USD', 'value': 9412557000.0, 'xpath': None}}, 'cash_flow_statement': {'exchange_gains_losses': {'formula': None, 'label': 'Exchange Gains/Losses', 'order': 1000, 'unit': 'USD', 'value': 48000, 'xpath': None}, 'net_cash_flow': {'formula': None, 'label': 'Net Cash Flow', 'order': 1100, 'unit': 'USD', 'value': -657349000.0, 'xpath': None}, 'net_cash_flow_from_financing_activities': {'formula': None, 'label': 'Net Cash Flow From Financing Activities', 'order': 700, 'unit': 'USD', 'value': 69876000.0, 'xpath': None}}, 'comprehensive_income': {'comprehensive_income_loss': {'formula': None, 'label': 'Comprehensive Income/Loss', 'order': 100, 'unit': 'USD', 'value': 142090000.0, 'xpath': None}, 'comprehensive_income_loss_attributable_to_parent': {'formula': None, 'label': 'Comprehensive Income/Loss Attributable To Parent', 'order': 300, 'unit': 'USD', 'value': 142090000.0, 'xpath': None}, 'other_comprehensive_income_loss': {'formula': None, 'label': 'Other Comprehensive Income/Loss', 'order': 400, 'unit': 'USD', 'value': 46150000.0, 'xpath': None}}, 'income_statement': {'basic_earnings_per_share': {'formula': None, 'label': 'Basic Earnings Per Share', 'order': 4200, 'unit': 'USD / shares', 'value': 0.26, 'xpath': None}, 'cost_of_revenue': None, 'gross_profit': None, 'operating_expenses': None, 'revenues': {'formula': None, 'label': 'Revenues', 'order': 100, 'unit': 'USD', 'value': 442804000.0, 'xpath': None}}}",Q1,2021,https://api.polygon.io/v1/reference/sec/filings/0000726728-21-000049/files/o-20210331_htm.xml,https://api.polygon.io/v1/reference/sec/filings/0000726728-21-000049,2021-01-01
0000726728,REALTY INCOME CORPORATION,2020-09-30,2020-11-03,"{'balance_sheet': {'equity_attributable_to_parent': {'formula': None, 'label': 'Equity Attributable To Parent', 'order': 1600, 'unit': 'USD', 'value': 10470527000.0, 'xpath': None}, 'assets': {'formula': None, 'label': 'Assets', 'order': 100, 'unit': 'USD', 'value': 19785370000.0, 'xpath': None}, 'equity': {'formula': None, 'label': 'Equity', 'order': 1400, 'unit': 'USD', 'value': 10499788000.0, 'xpath': None}, 'equity_attributable_to_noncontrolling_interest': {'formula': None, 'label': 'Equity Attributable To Noncontrolling Interest', 'order': 1500, 'unit': 'USD', 'value': 29261000.0, 'xpath': None}, 'liabilities': {'formula': None, 'label': 'Liabilities', 'order': 600, 'unit': 'USD', 'value': 9285582000.0, 'xpath': None}, 'liabilities_and_equity': {'formula': None, 'label': 'Liabilities And Equity', 'order': 1900, 'unit': 'USD', 'value': 19785370000.0, 'xpath': None}, 'noncurrent_assets': {'formula': None, 'label': 'Noncurrent Assets', 'order': 300, 'unit': 'USD', 'value': 0, 'xpath': None}, 'current_assets': {'formula': None, 'label': 'Current Assets', 'order': 200, 'unit': 'USD', 'value': 19785370000.0, 'xpath': None}, 'noncurrent_liabilities': {'formula': None, 'label': 'Noncurrent Liabilities', 'order': 800, 'unit': 'USD', 'value': 0, 'xpath': None}, 'current_liabilities': {'formula': None, 'label': 'Current Liabilities', 'order': 700, 'unit': 'USD', 'value': 9285582000.0, 'xpath': None}}, 'cash_flow_statement': {'exchange_gains_losses': None, 'net_cash_flow': None, 'net_cash_flow_from_financing_activities': None}, 'comprehensive_income': {'comprehensive_income_loss': {'formula': None, 'label': 'Comprehensive Income/Loss', 'order': 100, 'unit': 'USD', 'value': 23542000.0, 'xpath': None}, 'comprehensive_income_loss_attributable_to_parent': {'formula': None, 'label': 'Comprehensive Income/Loss Attributable To Parent', 'order': 300, 'unit': 'USD', 'value': 23542000.0, 'xpath': None}, 'other_comprehensive_income_loss': {'formula': None, 'label': 'Other Comprehensive Income/Loss', 'order': 400, 'unit': 'USD', 'value': 638000, 'xpath': None}}, 'income_statement': {'basic_earnings_per_share': {'formula': None, 'label': 'Basic Earnings Per Share', 'order': 4200, 'unit': 'USD / shares', 'value': 0.07, 'xpath': None}, 'cost_of_revenue': None, 'gross_profit': None, 'operating_expenses': None, 'revenues': {'formula': None, 'label': 'Revenues', 'order': 100, 'unit': 'USD', 'value': 404572000.0, 'xpath': None}}}",Q3,2020,https://api.polygon.io/v1/reference/sec/filings/0000726728-20-000100/files/o-20200930_htm.xml,https://api.polygon.io/v1/reference/sec/filings/0000726728-20-000100,2020-07-01
0000726728,REALTY INCOME CORPORATION,2020-06-30,2020-08-04,"{'balance_sheet': {'noncurrent_liabilities': {'formula': None, 'label': 'Noncurrent Liabilities', 'order': 800, 'unit': 'USD', 'value': 0, 'xpath': None}, 'current_liabilities': {'formula': None, 'label': 'Current Liabilities', 'order': 700, 'unit': 'USD', 'value': 8728628000.0, 'xpath': None}, 'noncurrent_assets': {'formula': None, 'label': 'Noncurrent Assets', 'order': 300, 'unit': 'USD', 'value': 0, 'xpath': None}, 'liabilities_and_equity': {'formula': None, 'label': 'Liabilities And Equity', 'order': 1900, 'unit': 'USD', 'value': 19102547000.0, 'xpath': None}, 'current_assets': {'formula': None, 'label': 'Current Assets', 'order': 200, 'unit': 'USD', 'value': 19102547000.0, 'xpath': None}, 'assets': {'formula': None, 'label': 'Assets', 'order': 100, 'unit': 'USD', 'value': 19102547000.0, 'xpath': None}, 'liabilities': {'formula': None, 'label': 'Liabilities', 'order': 600, 'unit': 'USD', 'value': 8728628000.0, 'xpath': None}, 'equity': {'formula': None, 'label': 'Equity', 'order': 1400, 'unit': 'USD', 'value': 10373919000.0, 'xpath': None}, 'equity_attributable_to_noncontrolling_interest': {'formula': None, 'label': 'Equity Attributable To Noncontrolling Interest', 'order': 1500, 'unit': 'USD', 'value': 29470000.0, 'xpath': None}, 'equity_attributable_to_parent': {'formula': None, 'label': 'Equity Attributable To Parent', 'order': 1600, 'unit': 'USD', 'value': 10344449000.0, 'xpath': None}}, 'cash_flow_statement': {'exchange_gains_losses': None, 'net_cash_flow': None, 'net_cash_flow_from_financing_activities': None}, 'comprehensive_income': {'comprehensive_income_loss': {'formula': None, 'label': 'Comprehensive Income/Loss', 'order': 100, 'unit': 'USD', 'value': 97312000.0, 'xpath': None}, 'comprehensive_income_loss_attributable_to_parent': {'formula': None, 'label': 'Comprehensive Income/Loss Attributable To Parent', 'order': 300, 'unit': 'USD', 'value': 97312000.0, 'xpath': None}, 'other_comprehensive_income_loss': {'formula': None, 'label': 'Other Comprehensive Income/Loss', 'order': 400, 'unit': 'USD', 'value': -10512000.0, 'xpath': None}}, 'income_statement': {'basic_earnings_per_share': None, 'cost_of_revenue': None, 'gross_profit': None, 'operating_expenses': None, 'revenues': {'formula': None, 'label': 'Revenues', 'order': 100, 'unit': 'USD', 'value': 414636000.0, 'xpath': None}}}",Q2,2020,https://api.polygon.io/v1/reference/sec/filings/0000726728-20-000077/files/o-20200630_htm.xml,https://api.polygon.io/v1/reference/sec/filings/0000726728-20-000077,2020-04-01
0000726728,REALTY INCOME CORPORATION,2020-03-31,2020-05-05,"{'balance_sheet': {'noncurrent_assets': {'formula': None, 'label': 'Noncurrent Assets', 'order': 300, 'unit': 'USD', 'value': 0, 'xpath': None}, 'liabilities_and_equity': {'formula': None, 'label': 'Liabilities And Equity', 'order': 1900, 'unit': 'USD', 'value': 18796442000.0, 'xpath': None}, 'noncurrent_liabilities': {'formula': None, 'label': 'Noncurrent Liabilities', 'order': 800, 'unit': 'USD', 'value': 0, 'xpath': None}, 'liabilities': {'formula': None, 'label': 'Liabilities', 'order': 600, 'unit': 'USD', 'value': 8378803000.0, 'xpath': None}, 'equity': {'formula': None, 'label': 'Equity', 'order': 1400, 'unit': 'USD', 'value': 10417639000.0, 'xpath': None}, 'equity_attributable_to_parent': {'formula': None, 'label': 'Equity Attributable To Parent', 'order': 1600, 'unit': 'USD', 'value': 10388015000.0, 'xpath': None}, 'equity_attributable_to_noncontrolling_interest': {'formula': None, 'label': 'Equity Attributable To Noncontrolling Interest', 'order': 1500, 'unit': 'USD', 'value': 29624000.0, 'xpath': None}, 'assets': {'formula': None, 'label': 'Assets', 'order': 100, 'unit': 'USD', 'value': 18796442000.0, 'xpath': None}, 'current_liabilities': {'formula': None, 'label': 'Current Liabilities', 'order': 700, 'unit': 'USD', 'value': 8378803000.0, 'xpath': None}, 'current_assets': {'formula': None, 'label': 'Current Assets', 'order': 200, 'unit': 'USD', 'value': 18796442000.0, 'xpath': None}}, 'cash_flow_statement': {'exchange_gains_losses': {'formula': None, 'label': 'Exchange Gains/Losses', 'order': 1000, 'unit': 'USD', 'value': -2929000.0, 'xpath': None}, 'net_cash_flow': {'formula': None, 'label': 'Net Cash Flow', 'order': 1100, 'unit': 'USD', 'value': 66152000.0, 'xpath': None}, 'net_cash_flow_from_financing_activities': {'formula': None, 'label': 'Net Cash Flow From Financing Activities', 'order': 700, 'unit': 'USD', 'value': 155276000.0, 'xpath': None}}, 'comprehensive_income': {'comprehensive_income_loss': {'formula': None, 'label': 'Comprehensive Income/Loss', 'order': 100, 'unit': 'USD', 'value': 121357000.0, 'xpath': None}, 'comprehensive_income_loss_attributable_to_parent': {'formula': None, 'label': 'Comprehensive Income/Loss Attributable To Parent', 'order': 300, 'unit': 'USD', 'value': 121357000.0, 'xpath': None}, 'other_comprehensive_income_loss': {'formula': None, 'label': 'Other Comprehensive Income/Loss', 'order': 400, 'unit': 'USD', 'value': -25470000.0, 'xpath': None}}, 'income_statement': {'basic_earnings_per_share': None, 'cost_of_revenue': None, 'gross_profit': None, 'operating_expenses': None, 'revenues': {'formula': None, 'label': 'Revenues', 'order': 100, 'unit': 'USD', 'value': 414341000.0, 'xpath': None}}}",Q1,2020,https://api.polygon.io/v1/reference/sec/filings/0000726728-20-000042/files/o-03312010qdocument_htm.xml,https://api.polygon.io/v1/reference/sec/filings/0000726728-20-000042,2020-01-01
0000726728,REALTY INCOME CORPORATION,2019-09-30,2019-11-05,"{'balance_sheet': {'current_assets': {'formula': None, 'label': 'Current Assets', 'order': 200, 'unit': 'USD', 'value': 17179904000.0, 'xpath': None}, 'liabilities': {'formula': None, 'label': 'Liabilities', 'order': 600, 'unit': 'USD', 'value': 7861807000.0, 'xpath': None}, 'noncurrent_assets': {'formula': None, 'label': 'Noncurrent Assets', 'order': 300, 'unit': 'USD', 'value': 0, 'xpath': None}, 'noncurrent_liabilities': {'formula': None, 'label': 'Noncurrent Liabilities', 'order': 800, 'unit': 'USD', 'value': 0, 'xpath': None}, 'liabilities_and_equity': {'formula': None, 'label': 'Liabilities And Equity', 'order': 1900, 'unit': 'USD', 'value': 17179904000.0, 'xpath': None}, 'equity_attributable_to_noncontrolling_interest': {'formula': None, 'label': 'Equity Attributable To Noncontrolling Interest', 'order': 1500, 'unit': 'USD', 'value': 24678000.0, 'xpath': None}, 'equity': {'formula': None, 'label': 'Equity', 'order': 1400, 'unit': 'USD', 'value': 9318097000.0, 'xpath': None}, 'equity_attributable_to_parent': {'formula': None, 'label': 'Equity Attributable To Parent', 'order': 1600, 'unit': 'USD', 'value': 9293419000.0, 'xpath': None}, 'current_liabilities': {'formula': None, 'label': 'Current Liabilities', 'order': 700, 'unit': 'USD', 'value': 7861807000.0, 'xpath': None}, 'assets': {'formula': None, 'label': 'Assets', 'order': 100, 'unit': 'USD', 'value': 17179904000.0, 'xpath': None}}, 'cash_flow_statement': {'exchange_gains_losses': None, 'net_cash_flow': None, 'net_cash_flow_from_financing_activities': None}, 'comprehensive_income': {'comprehensive_income_loss': {'formula': None, 'label': 'Comprehensive Income/Loss', 'order': 100, 'unit': 'USD', 'value': 102047000.0, 'xpath': None}, 'comprehensive_income_loss_attributable_to_parent': {'formula': None, 'label': 'Comprehensive Income/Loss Attributable To Parent', 'order': 300, 'unit': 'USD', 'value': 102047000.0, 'xpath': None}, 'other_comprehensive_income_loss': {'formula': None, 'label': 'Other Comprehensive Income/Loss', 'order': 400, 'unit': 'USD', 'value': 998000, 'xpath': None}}, 'income_statement': {'basic_earnings_per_share': {'formula': None, 'label': 'Basic Earnings Per Share', 'order': 4200, 'unit': 'USD / shares', 'value': 0.32, 'xpath': None}, 'cost_of_revenue': None, 'gross_profit': None, 'operating_expenses': None, 'revenues': {'formula': None, 'label': 'Revenues', 'order': 100, 'unit': 'USD', 'value': 374247000.0, 'xpath': None}}}",Q3,2019,https://api.polygon.io/v1/reference/sec/filings/0000726728-19-000094/files/o-09301910qdocument1_htm.xml,https://api.polygon.io/v1/reference/sec/filings/0000726728-19-000094,2019-07-01
0000726728,REALTY INCOME CORPORATION,2019-06-30,2019-08-06,"{'balance_sheet': {'current_liabilities': {'formula': None, 'label': 'Current Liabilities', 'order': 700, 'unit': 'USD', 'value': 7886036000.0, 'xpath': None}, 'noncurrent_liabilities': {'formula': None, 'label': 'Noncurrent Liabilities', 'order': 800, 'unit': 'USD', 'value': 0, 'xpath': None}, 'noncurrent_assets': {'formula': None, 'label': 'Noncurrent Assets', 'order': 300, 'unit': 'USD', 'value': 0, 'xpath': None}, 'assets': {'formula': None, 'label': 'Assets', 'order': 100, 'unit': 'USD', 'value': 16748630000.0, 'xpath': None}, 'equity': {'formula': None, 'label': 'Equity', 'order': 1400, 'unit': 'USD', 'value': 8862594000.0, 'xpath': None}, 'liabilities': {'formula': None, 'label': 'Liabilities', 'order': 600, 'unit': 'USD', 'value': 7886036000.0, 'xpath': None}, 'current_assets': {'formula': None, 'label': 'Current Assets', 'order': 200, 'unit': 'USD', 'value': 16748630000.0, 'xpath': None}, 'equity_attributable_to_parent': {'formula': None, 'label': 'Equity Attributable To Parent', 'order': 1600, 'unit': 'USD', 'value': 8837502000.0, 'xpath': None}, 'liabilities_and_equity': {'formula': None, 'label': 'Liabilities And Equity', 'order': 1900, 'unit': 'USD', 'value': 16748630000.0, 'xpath': None}, 'equity_attributable_to_noncontrolling_interest': {'formula': None, 'label': 'Equity Attributable To Noncontrolling Interest', 'order': 1500, 'unit': 'USD', 'value': 25092000.0, 'xpath': None}}, 'cash_flow_statement': {'exchange_gains_losses': None, 'net_cash_flow': None, 'net_cash_flow_from_financing_activities': None}, 'comprehensive_income': {'comprehensive_income_loss': {'formula': None, 'label': 'Comprehensive Income/Loss', 'order': 100, 'unit': 'USD', 'value': 92394000.0, 'xpath': None}, 'comprehensive_income_loss_attributable_to_parent': {'formula': None, 'label': 'Comprehensive Income/Loss Attributable To Parent', 'order': 300, 'unit': 'USD', 'value': 92394000.0, 'xpath': None}, 'other_comprehensive_income_loss': {'formula': None, 'label': 'Other Comprehensive Income/Loss', 'order': 400, 'unit': 'USD', 'value': -2800000.0, 'xpath': None}}, 'income_statement': {'basic_earnings_per_share': None, 'cost_of_revenue': None, 'gross_profit': None, 'operating_expenses': None, 'revenues': {'formula': None, 'label': 'Revenues', 'order': 100, 'unit': 'USD', 'value': 365450000.0, 'xpath': None}}}",Q2,2019,https://api.polygon.io/v1/reference/sec/filings/0000726728-19-000079/files/o-06301910qdocument_htm.xml,https://api.polygon.io/v1/reference/sec/filings/0000726728-19-000079,2019-04-01
0000726728,REALTY INCOME CORP,2019-03-31,2019-05-02,"{'balance_sheet': {'equity_attributable_to_parent': {'formula': None, 'label': 'Equity Attributable To Parent', 'order': 1600, 'unit': 'USD', 'value': 7983895000.0, 'xpath': None}, 'assets': {'formula': None, 'label': 'Assets', 'order': 100, 'unit': 'USD', 'value': 15762908000.0, 'xpath': None}, 'equity': {'formula': None, 'label': 'Equity', 'order': 1400, 'unit': 'USD', 'value': 8009076000.0, 'xpath': None}, 'noncurrent_liabilities': {'formula': None, 'label': 'Noncurrent Liabilities', 'order': 800, 'unit': 'USD', 'value': 0, 'xpath': None}, 'noncurrent_assets': {'formula': None, 'label': 'Noncurrent Assets', 'order': 300, 'unit': 'USD', 'value': 0, 'xpath': None}, 'equity_attributable_to_noncontrolling_interest': {'formula': None, 'label': 'Equity Attributable To Noncontrolling Interest', 'order': 1500, 'unit': 'USD', 'value': 25181000.0, 'xpath': None}, 'current_liabilities': {'formula': None, 'label': 'Current Liabilities', 'order': 700, 'unit': 'USD', 'value': 7753832000.0, 'xpath': None}, 'current_assets': {'formula': None, 'label': 'Current Assets', 'order': 200, 'unit': 'USD', 'value': 15762908000.0, 'xpath': None}, 'liabilities_and_equity': {'formula': None, 'label': 'Liabilities And Equity', 'order': 1900, 'unit': 'USD', 'value': 15762908000.0, 'xpath': None}, 'liabilities': {'formula': None, 'label': 'Liabilities', 'order': 600, 'unit': 'USD', 'value': 7753832000.0, 'xpath': None}}, 'cash_flow_statement': {'exchange_gains_losses': None, 'net_cash_flow': {'formula': None, 'label': 'Net Cash Flow', 'order': 1100, 'unit': 'USD', 'value': 1263000.0, 'xpath': None}, 'net_cash_flow_from_financing_activities': {'formula': None, 'label': 'Net Cash Flow From Financing Activities', 'order': 700, 'unit': 'USD', 'value': 287750000.0, 'xpath': None}}, 'comprehensive_income': {'comprehensive_income_loss': {'formula': None, 'label': 'Comprehensive Income/Loss', 'order': 100, 'unit': 'USD', 'value': 107243000.0, 'xpath': None}, 'comprehensive_income_loss_attributable_to_parent': {'formula': None, 'label': 'Comprehensive Income/Loss Attributable To Parent', 'order': 300, 'unit': 'USD', 'value': 107243000.0, 'xpath': None}, 'other_comprehensive_income_loss': {'formula': None, 'label': 'Other Comprehensive Income/Loss', 'order': 400, 'unit': 'USD', 'value': -3699000.0, 'xpath': None}}, 'income_statement': {'basic_earnings_per_share': None, 'cost_of_revenue': None, 'gross_profit': None, 'operating_expenses': None, 'revenues': {'formula': None, 'label': 'Revenues', 'order': 100, 'unit': 'USD', 'value': 354365000.0, 'xpath': None}}}",Q1,2019,https://api.polygon.io/v1/reference/sec/filings/0000726728-19-000049/files/o-20190331.xml,https://api.polygon.io/v1/reference/sec/filings/0000726728-19-000049,2019-01-01
